belagskategorie;option;bewertungskategorie;wert;szenario;gewicht;group_id;min_wert;max_wert;score_normiert;MCA_score_kriterium
Asphalt;Heller Asphalt;lebensdauer;17,50;Szenario 1: Forschungsfokus;0,20000000000;langlebigkeit_wirtschaftlichkeit;12,5;45,0;0,1538461538461539;0,030769230769230771
Asphalt;Heller Asphalt;lebensdauer;17,50;Szenario 2: Radikale Vermeidung;0,02500000000;langlebigkeit_wirtschaftlichkeit;12,5;45,0;0,1538461538461539;0,003846153846153846
Asphalt;Heller Asphalt;lebensdauer;17,50;Szenario 3: Radikaler Lebenszyklus;0,40000000000;langlebigkeit_wirtschaftlichkeit;12,5;45,0;0,1538461538461539;0,061538461538461542
Asphalt;Heller Asphalt;versickerung;1,00;Szenario 0: Baseline (IST);0,13333333320;multifunktionale_nutzungsqualitaet;0,2;1,0;1,0000000000000000;0,133333333200000015
Asphalt;Heller Asphalt;versickerung;1,00;Szenario 1: Forschungsfokus;0,03333333330;multifunktionale_nutzungsqualitaet;0,2;1,0;1,0000000000000000;0,033333333300000004
Asphalt;Heller Asphalt;versickerung;1,00;Szenario 2: Radikale Vermeidung;0,01666666665;multifunktionale_nutzungsqualitaet;0,2;1,0;1,0000000000000000;0,016666666650000002
Asphalt;Heller Asphalt;versickerung;1,00;Szenario 3: Radikaler Lebenszyklus;0,03333333330;multifunktionale_nutzungsqualitaet;0,2;1,0;1,0000000000000000;0,033333333300000004
Asphalt;Heller Asphalt;oberflaechentemperatur;54,00;Szenario 0: Baseline (IST);0,13333333320;multifunktionale_nutzungsqualitaet;26,0;58,4;0,1358024691358024;0,018106995866666659
Asphalt;Heller Asphalt;oberflaechentemperatur;54,00;Szenario 1: Forschungsfokus;0,03333333330;multifunktionale_nutzungsqualitaet;26,0;58,4;0,1358024691358024;0,004526748966666665
Asphalt;Heller Asphalt;oberflaechentemperatur;54,00;Szenario 2: Radikale Vermeidung;0,01666666665;multifunktionale_nutzungsqualitaet;26,0;58,4;0,1358024691358024;0,002263374483333332
Asphalt;Heller Asphalt;oberflaechentemperatur;54,00;Szenario 3: Radikaler Lebenszyklus;0,03333333330;multifunktionale_nutzungsqualitaet;26,0;58,4;0,1358024691358024;0,004526748966666665
Asphalt;Heller Asphalt;befahrbarkeit;5,00;Szenario 0: Baseline (IST);0,13333333320;multifunktionale_nutzungsqualitaet;1,0;5,0;1,0000000000000000;0,133333333200000015
Asphalt;Heller Asphalt;befahrbarkeit;5,00;Szenario 1: Forschungsfokus;0,03333333330;multifunktionale_nutzungsqualitaet;1,0;5,0;1,0000000000000000;0,033333333300000004
Asphalt;Heller Asphalt;befahrbarkeit;5,00;Szenario 2: Radikale Vermeidung;0,01666666665;multifunktionale_nutzungsqualitaet;1,0;5,0;1,0000000000000000;0,016666666650000002
Asphalt;Heller Asphalt;befahrbarkeit;5,00;Szenario 3: Radikaler Lebenszyklus;0,03333333330;multifunktionale_nutzungsqualitaet;1,0;5,0;1,0000000000000000;0,033333333300000004
Asphalt;Heller Asphalt;kosten_100a;660,00;Szenario 0: Baseline (IST);0,10000000000;langlebigkeit_wirtschaftlichkeit;300,0;800,0;0,2800000000000000;0,028000000000000004
Asphalt;Heller Asphalt;kosten_100a;660,00;Szenario 1: Forschungsfokus;0,10000000000;langlebigkeit_wirtschaftlichkeit;300,0;800,0;0,2800000000000000;0,028000000000000004
Asphalt;Heller Asphalt;kosten_100a;660,00;Szenario 2: Radikale Vermeidung;0,01250000000;langlebigkeit_wirtschaftlichkeit;300,0;800,0;0,2800000000000000;0,003500000000000001
Asphalt;Heller Asphalt;kosten_100a;660,00;Szenario 3: Radikaler Lebenszyklus;0,20000000000;langlebigkeit_wirtschaftlichkeit;300,0;800,0;0,2800000000000000;0,056000000000000008
Asphalt;Heller Asphalt;unterhalt_100a;400,00;Szenario 0: Baseline (IST);0,10000000000;langlebigkeit_wirtschaftlichkeit;200,0;900,0;0,7142857142857143;0,071428571428571438
Asphalt;Heller Asphalt;unterhalt_100a;400,00;Szenario 1: Forschungsfokus;0,10000000000;langlebigkeit_wirtschaftlichkeit;200,0;900,0;0,7142857142857143;0,071428571428571438
Asphalt;Heller Asphalt;unterhalt_100a;400,00;Szenario 2: Radikale Vermeidung;0,01250000000;langlebigkeit_wirtschaftlichkeit;200,0;900,0;0,7142857142857143;0,008928571428571430
Asphalt;Heller Asphalt;unterhalt_100a;400,00;Szenario 3: Radikaler Lebenszyklus;0,20000000000;langlebigkeit_wirtschaftlichkeit;200,0;900,0;0,7142857142857143;0,142857142857142877
Asphalt;Heller Asphalt;co2_100a;300,00;Szenario 0: Baseline (IST);0,05000000000;umweltbelastung;105,0;480,0;0,4800000000000000;0,024000000000000000
Asphalt;Heller Asphalt;co2_100a;300,00;Szenario 1: Forschungsfokus;0,12500000000;umweltbelastung;105,0;480,0;0,4800000000000000;0,059999999999999998
Asphalt;Heller Asphalt;co2_100a;300,00;Szenario 2: Radikale Vermeidung;0,22500000000;umweltbelastung;105,0;480,0;0,4800000000000000;0,107999999999999999
Asphalt;Heller Asphalt;co2_100a;300,00;Szenario 3: Radikaler Lebenszyklus;0,02500000000;umweltbelastung;105,0;480,0;0,4800000000000000;0,012000000000000000
Asphalt;Heller Asphalt;graueEnergie_100a;1986,00;Szenario 0: Baseline (IST);0,05000000000;umweltbelastung;405,0;2760,0;0,3286624203821656;0,016433121019108283
Asphalt;Heller Asphalt;graueEnergie_100a;1986,00;Szenario 1: Forschungsfokus;0,12500000000;umweltbelastung;405,0;2760,0;0,3286624203821656;0,041082802547770705
Asphalt;Heller Asphalt;graueEnergie_100a;1986,00;Szenario 2: Radikale Vermeidung;0,22500000000;umweltbelastung;405,0;2760,0;0,3286624203821656;0,073949044585987278
Asphalt;Heller Asphalt;graueEnergie_100a;1986,00;Szenario 3: Radikaler Lebenszyklus;0,02500000000;umweltbelastung;405,0;2760,0;0,3286624203821656;0,008216560509554141
Asphalt;Heller Asphalt;recyclingfaehigkeit;1,00;Szenario 0: Baseline (IST);0,03333333330;kreislauffaehigkeit;0,0;2,0;0,5000000000000000;0,016666666650000002
Asphalt;Heller Asphalt;recyclingfaehigkeit;1,00;Szenario 1: Forschungsfokus;0,08333333325;kreislauffaehigkeit;0,0;2,0;0,5000000000000000;0,041666666625000001
Asphalt;Heller Asphalt;recyclingfaehigkeit;1,00;Szenario 2: Radikale Vermeidung;0,14999999985;kreislauffaehigkeit;0,0;2,0;0,5000000000000000;0,074999999925000005
Asphalt;Heller Asphalt;recyclingfaehigkeit;1,00;Szenario 3: Radikaler Lebenszyklus;0,01666666665;kreislauffaehigkeit;0,0;2,0;0,5000000000000000;0,008333333325000001
Asphalt;Heller Asphalt;lokaleMaterialien;0,40;Szenario 0: Baseline (IST);0,03333333330;kreislauffaehigkeit;0,4;0,8;0,0000000000000000;0,000000000000000000
Asphalt;Heller Asphalt;lokaleMaterialien;0,40;Szenario 1: Forschungsfokus;0,08333333325;kreislauffaehigkeit;0,4;0,8;0,0000000000000000;0,000000000000000000
Asphalt;Heller Asphalt;lokaleMaterialien;0,40;Szenario 2: Radikale Vermeidung;0,14999999985;kreislauffaehigkeit;0,4;0,8;0,0000000000000000;0,000000000000000000
